DIC Brass		
7/30/2018 13:27		
Sample Rate (Hz) = 10000.00		
Effective Sample Rate (Hz) = 5.00		
Section #	1	
Width	16.61	
Thickness	6.44	
Gauge Length	50.8	
Overall Length	195.32	
		
		
Frame #	Load (N)	Displacement (mm)
		
210	23589.149	12.2397
211	23617.7203	12.3041
212	23677.1978	12.3638
213	23719.9204	12.4222
214	23763.7471	12.48
215	23809.7073	12.5427
216	23856.7641	12.6008
217	23880.673	12.664
218	23929.1845	12.7216
219	23982.0301	12.7823
220	24017.8822	12.8396
221	24072.3392	12.9003
222	24108.1167	12.963
223	24155.1511	13.0228
224	24184.5654	13.0794
225	24242.6852	13.1393
226	24294.3149	13.2001
227	24335.2024	13.2623
228	24370.122	13.3233
229	24429.1519	13.3818
230	24471.1285	13.44
231	24516.2756	13.4997
232	24588.8526	13.5627
233	24588.8824	13.6234
234	24631.6125	13.6819
235	24677.0655	13.7415
236	24711.3734	13.7993
237	24753.3649	13.8609
238	24809.3885	13.9222
239	24869.5075	13.9808
240	24881.5851	14.0383
241	24941.2043	14.0978
242	24961.137	14.1595
243	24999.8015	14.2226
244	25058.6449	14.2794
245	25094.8774	14.3384
246	25146.8428	14.3988
247	25191.1171	14.4559
248	25227.4019	14.5192
249	25250.9079	14.5807
250	25324.0518	14.6399
251	25356.7186	14.698
252	25380.4708	14.7592
253	25439.8065	14.8176
254	25465.9459	14.8804
255	25495.5615	14.9377
256	25542.5363	14.9963
257	25590.63	15.0547
258	25624.9155	15.1185
259	25673.5165	15.1805
260	25716.0005	15.2387
261	25746.198	15.2978
262	25783.5271	15.357
263	25836.4101	15.4197
264	25857.514	15.4809
265	25909.1288	15.5396
266	25937.9164	15.5989
267	25986.5995	15.6571
268	26013.1118	15.7148
269	26071.0078	15.781
270	26115.5208	15.8399
271	26114.7525	15.8972
272	26160.8842	15.9569
273	26220.4885	16.015
274	26234.3266	16.082
275	26294.192	16.1385
276	26346.5528	16.1977
277	26362.1215	16.2562
278	26410.633	16.3201
279	26436.3396	16.3765
280	26467.2309	16.4384
281	26517.9431	16.4988
282	26545.7833	16.5579
283	26597.8233	16.6159
284	26628.7966	16.6751
285	26664.1862	16.7354
286	26695.6892	16.7974
287	26731.8024	16.8558
288	26774.8756	16.9143
289	26818.762	16.9761
290	26865.2743	17.0384
291	26875.6882	17.0985
292	26920.4026	17.1568
293	26965.9003	17.2166
294	26995.0609	17.2773
295	27032.3826	17.3405
296	27068.2422	17.3989
297	27106.7276	17.4588
298	27139.4391	17.5165
299	27172.2998	17.5763
300	27201.8558	17.6378
301	27244.8619	17.6983
302	27273.7166	17.7557
303	27316.1036	17.8148
304	27359.6617	17.8727
305	27388.5836	17.9399
306	27430.0977	17.9981
307	27448.4937	18.056
308	27507.7698	18.1141
309	27521.3094	18.1751
310	27566.546	18.2394
311	27606.4339	18.297
312	27630.2458	18.357
313	27684.6282	18.4156
314	27713.9977	18.4737
315	27727.5149	18.5345
316	27757.7498	18.5967
317	27811.7144	18.6565
318	27847.1637	18.7138
319	27874.049	18.7731
320	27914.198	18.8314
321	27949.0057	18.8981
322	27960.1955	18.9555
323	27992.0715	19.0143
324	28054.3912	19.073
325	28073.6824	19.1329
326	28112.7422	19.1922
327	28152.6674	19.2566
328	28183.1335	19.3158
329	28218.8811	19.3743
330	28239.0451	19.4332
331	28276.5086	19.4962
332	28313.3454	19.5563
333	28330.9506	19.6136
334	28386.8175	19.673
335	28401.3494	19.7322
336	28447.4662	19.793
337	28465.5788	19.8559
338	28506.332	19.9137
339	28551.6059	19.9721
340	28575.649	20.0312
341	28612.1203	20.0943
342	28642.3626	20.1563
343	28680.0274	20.2141
344	28696.7226	20.2737
345	28699.9229	20.3316
346	28754.7902	20.3912
347	28813.7455	20.4483
348	28829.3664	20.5148
349	28879.8025	20.5725
350	28888.8215	20.6313
351	28931.3203	20.6939
352	28954.3713	20.7544
353	28975.5797	20.8143
354	29005.7325	20.8737
355	29050.7676	20.932
356	29074.1319	20.9958
357	29109.6558	21.0568
358	29153.0722	21.1154
359	29180.8154	21.174
360	29194.8176	21.2348
361	29226.2087	21.2901
362	29270.0876	21.3517
363	29283.9555	21.414
364	29327.536	21.4734
365	29354.8316	21.5306
366	29371.9222	21.5895
367	29415.0625	21.6485
368	29456.0769	21.7115
369	29459.6576	21.7718
370	29520.0676	21.8298
371	29548.609	21.8892
372	29552.6	21.948
373	29590.6602	22.0125
374	29637.5156	22.073
375	29644.043	22.1319
376	29680.5814	22.1898
377	29741.4539	22.2477
378	29740.1783	22.3094
379	29771.0322	22.371
380	29817.8354	22.4302
381	29814.389	22.4889
382	29861.2145	22.5467
383	29879.051	22.6119
384	29912.1952	22.6722
385	29956.7604	22.7314
386	29992.0083	22.7904
387	30021.8701	22.8485
388	30036.5884	22.9132
389	30060.0422	22.9716
390	30096.9089	23.0318
391	30120.579	23.091
392	30151.0227	23.1488
393	30179.0419	23.2078
394	30179.9893	23.268
395	30247.0311	23.3305
396	30283.8978	23.3898
397	30325.4193	23.4485
398	30355.0052	23.513
399	30383.3004	23.5741
400	30385.6503	23.6296
401	30409.6337	23.6901
402	30414.6617	23.7474
403	30384.4642	23.8075
404	30516.1083	23.8708
405	30589.3716	23.9298
